oem_number,part_name,brand,model,price,quantity,condition,year_start,year_end,address,store_name,phone,photo_url,body_code
15208-AA100,Масляный фильтр Mazda MX-5,Mazda,MX-5,760,21,used,2010,2018,"г. Москва, ул. Транспортная, 99",АвтоМир,+7-908-584-63-51,,
27060-50058,Генератор Kia Sorento,Kia,Sorento,19795,22,used,1996,2004,"г. Новокузнецк, ул. Ленина, 15",ЗапчастиКузбасс,+7-946-264-74-35,,
31210-0W010,Ступица передняя Toyota Camry,Toyota,Camry,4951,9,new,2008,2017,"г. Красноярск, ул. Ленина, 23",АвтоМир,+7-914-788-88-38,,
13568-88462,Ремень ГРМ Kia Sorento,Kia,Sorento,1569,19,used,1997,2006,"г. Казань, ул. Кирова, 18",Авторазбор №1,+7-901-304-64-16,,
90916-03089,Термостат Nissan Qashqai,Nissan,Qashqai,1177,22,used,2006,2011,"г. Казань, ул. Ленина, 85",ЗапчастиКузбасс,+7-906-706-13-10,,
23300-0W010,Топливный фильтр Toyota Highlander,Toyota,Highlander,611,19,used,2009,2018,"г. Кемерово, ул. Кирова, 59",Дром Запчасти,+7-962-519-83-71,,
48510-56522,Амортизатор передний Nissan Patrol,Nissan,Patrol,3587,8,new,1998,2003,"г. Казань, ул. Кирова, 96",Авторазбор №1,+7-943-510-13-48,,
04465-50050,Тормозные колодки передние Nissan X-Trail,Nissan,X-Trail,2161,23,used,1996,2006,"г. Казань, ул. Кирова, 61",Автозапчасти24,+7-973-526-27-23,,
04465-0W020,Тормозные колодки передние Honda Fit,Honda,Fit,3249,13,new,2012,2021,"г. Москва, ул. Ленина, 29",ЗапчастиКузбасс,+7-923-747-70-56,,
04465-72914,Тормозные колодки передние Subaru Outback,Subaru,Outback,2758,22,used,2011,2017,"г. Москва, ул. Транспортная, 39",Авторазбор №1,+7-916-524-24-75,,
16400-0W210,Радиатор Nissan Teana,Nissan,Teana,9030,18,used,2006,2012,"г. Новокузнецк, ул. Ленина, 39",АвтоМир,+7-999-614-92-21,,
13568-46416,Ремень ГРМ Kia Sorento,Kia,Sorento,2928,19,new,2011,2019,"г. Кемерово, ул. Курако, 28",АвтоМир,+7-951-688-41-54,,
16400-0W210,Радиатор Kia Optima,Kia,Optima,9274,9,used,1998,2007,"г. Москва, ул. Ленина, 92",АвтоМир,+7-967-828-74-95,,
15208-AA100,Масляный фильтр Mazda CX-9,Mazda,CX-9,1094,3,new,2002,2011,"г. Кемерово, ул. Ленина, 60",Exist,+7-963-560-95-28,,
12305-10032,Масляный поддон Honda CR-V,Honda,CR-V,3824,15,new,2006,2013,"г. Новокузнецк, ул. Транспортная, 2",Exist,+7-934-979-86-46,,
23300-0W010,Топливный фильтр Honda Civic,Honda,Civic,756,9,new,2000,2007,"г. Новосибирск, ул. Транспортная, 61",АвтоМир,+7-975-923-53-95,,
48520-59921,Амортизатор задний Subaru Forester,Subaru,Forester,4187,11,used,2001,2011,"г. Санкт-Петербург, ул. Ленина, 100",Автозапчасти24,+7-900-941-24-40,,
23300-0W010,Топливный фильтр Mazda MX-5,Mazda,MX-5,1255,9,used,2010,2020,"г. Новокузнецк, ул. Кирова, 16",АвтоМир,+7-948-361-41-78,,
04465-0W020,Тормозные колодки передние Hyundai Solaris,Hyundai,Solaris,2018,5,new,2010,2017,"г. Новокузнецк, ул. Транспортная, 97",Автоопт,+7-949-129-34-54,,
23300-0W010,Топливный фильтр Mazda CX-9,Mazda,CX-9,724,21,used,2011,2016,"г. Кемерово, ул. Кирова, 65",Дром Запчасти,+7-914-110-40-35,,
90916-28063,Термостат Mitsubishi Pajero,Mitsubishi,Pajero,867,16,used,2003,2008,"г. Екатеринбург, ул. Транспортная, 99",Автодок,+7-928-607-55-78,,
27060-87899,Генератор Mitsubishi ASX,Mitsubishi,ASX,10859,17,new,2009,2019,"г. Красноярск, ул. Ленина, 91",Автодок,+7-965-552-73-30,,
22401-AA560,Свечи зажигания (4 шт) Nissan Teana,Nissan,Teana,471,4,new,2010,2020,"г. Красноярск, ул. Ленина, 84",Автодок,+7-970-456-19-24,,
04465-93763,Тормозные колодки передние Nissan Teana,Nissan,Teana,3120,11,used,2009,2018,"г. Екатеринбург, ул. Кирова, 87",Автодок,+7-919-551-53-30,,
90916-03089,Термостат Hyundai Creta,Hyundai,Creta,2178,25,new,2007,2017,"г. Екатеринбург, ул. Курако, 62",Автозапчасти24,+7-912-860-98-52,,
31210-0W010,Ступица передняя Mazda CX-9,Mazda,CX-9,4468,10,new,1998,2006,"г. Кемерово, ул. Курако, 4",Автозапчасти24,+7-964-410-70-29,,
17801-89670,Воздушный фильтр Mazda 3,Mazda,3,1765,13,used,2002,2007,"г. Красноярск, ул. Ленина, 33",Exist,+7-980-642-32-88,,
48510-09L85,Амортизатор передний Mitsubishi ASX,Mitsubishi,ASX,3435,15,used,2004,2009,"г. Москва, ул. Курако, 18",Автозапчасти24,+7-969-518-22-53,,
13568-09070,Ремень ГРМ Honda Civic,Honda,Civic,2118,4,new,1997,2002,"г. Казань, ул. Курако, 20",Автоопт,+7-916-695-58-33,,
17801-0V010,Воздушный фильтр Toyota Highlander,Toyota,Highlander,1269,1,new,1995,2000,"г. Новокузнецк, ул. Курако, 17",Авторазбор №1,+7-955-361-87-72,,
48510-09L85,Амортизатор передний Toyota Camry,Toyota,Camry,3625,17,new,1996,2006,"г. Новосибирск, ул. Кирова, 53",Автозапчасти24,+7-996-124-58-88,,
48510-09L85,Амортизатор передний Honda Civic,Honda,Civic,5265,21,used,2009,2014,"г. Новосибирск, ул. Курако, 71",Автоопт,+7-966-670-28-17,,
23300-0W010,Топливный фильтр Toyota Land Cruiser 200,Toyota,Land Cruiser 200,1367,9,used,1997,2007,"г. Казань, ул. Транспортная, 88",Автозапчасти24,+7-973-156-29-83,,
04466-25896,Тормозные колодки задние Nissan Juke,Nissan,Juke,1252,19,used,2015,2023,"г. Красноярск, ул. Транспортная, 50",Автодок,+7-964-650-23-91,,
48520-09L85,Амортизатор задний Mazda CX-9,Mazda,CX-9,6388,12,used,2000,2005,"г. Москва, ул. Ленина, 63",Авторазбор №1,+7-918-822-54-21,,
22401-AA560,Свечи зажигания (4 шт) Kia Sorento,Kia,Sorento,759,3,new,2013,2019,"г. Новосибирск, ул. Ленина, 27",Дром Запчасти,+7-911-801-21-28,,
04466-0W020,Тормозные колодки задние Nissan Teana,Nissan,Teana,1201,4,used,2007,2012,"г. Новосибирск, ул. Транспортная, 85",Exist,+7-925-314-18-54,,
31210-0W010,Ступица передняя Honda Pilot,Honda,Pilot,6342,14,new,2015,2025,"г. Казань, ул. Кирова, 3",АвтоМир,+7-989-724-86-24,,
28100-0W030,Стартер Toyota RAV4,Toyota,RAV4,12072,16,used,2001,2006,"г. Новосибирск, ул. Ленина, 36",ЗапчастиКузбасс,+7-920-745-34-74,,
90916-03089,Термостат Hyundai Santa Fe,Hyundai,Santa Fe,1983,11,used,1997,2003,"г. Казань, ул. Ленина, 1",Автозапчасти24,+7-937-399-38-84,,
